PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGHTI,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2023,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2024,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2025,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2026,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2027,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2028,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2029,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2030,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2031,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2032,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2033,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2034,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2035,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2036,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2037,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2038,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2039,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2040,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2041,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2042,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2043,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2044,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2045,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2046,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2047,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2048,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2049,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGINT,,,1,2050,,,,,,12.322
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGMEX,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGNIC,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPAN,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPER,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGPRY,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGSLV,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINCOGURY,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASARG,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBOL,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2034,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2035,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2036,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2037,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2038,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2039,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2040,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2041,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2042,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2043,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2044,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2045,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2046,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2047,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2048,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2049,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRA,,,1,2050,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2023,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2024,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2025,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2026,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2027,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2028,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2029,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2030,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2031,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2032,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2033,,,,,,9.478
VariableCost,OPT,GLOBAL,MINGASBRB,,,1,2034,,,,,,9.478
